iter,loss
0,5.157237E+00
50,8.233348E-01
100,4.990643E-01
150,2.673278E-01
200,-5.814267E-01
250,-1.650120E+00
300,-1.880329E+00
350,-2.545891E+00
400,-2.778651E+00
450,-2.345969E+00
500,-2.758871E+00
550,-3.136230E+00
600,-3.075155E+00
650,-2.821932E+00
700,-3.671024E+00
750,-3.735649E+00
800,-3.402896E+00
850,-3.872628E+00
900,-3.577169E+00
950,-3.362819E+00
1000,-3.335889E+00
1050,-2.975737E+00
1100,-3.473456E+00
1150,-3.850852E+00
1200,-4.115402E+00
1250,-4.226749E+00
1300,-3.911131E+00
1350,-4.006442E+00
1400,-4.056430E+00
1450,-3.950591E+00
1500,-4.510567E+00
1550,-4.459521E+00
1600,-4.299721E+00
1650,-4.298990E+00
1700,-3.908988E+00
1750,-3.896393E+00
1800,-4.414662E+00
1850,-4.096694E+00
1900,-4.350979E+00
1950,-4.300904E+00
2000,-4.528919E+00
2050,-4.437839E+00
2100,-4.729434E+00
2150,-3.912940E+00
2200,-4.118307E+00
2250,-4.436801E+00
2300,-4.716063E+00
2350,-4.054286E+00
2400,-4.223110E+00
2450,-4.367348E+00
2500,-4.562683E+00
2550,-4.427125E+00
2600,-4.815615E+00
2650,-4.718246E+00
2700,-4.941113E+00
2750,-4.206506E+00
2800,-4.968463E+00
2850,-4.724027E+00
2900,-4.971399E+00
2950,-4.181697E+00
3000,-4.754397E+00
3050,-4.977888E+00
3100,-4.971446E+00
3150,-4.890901E+00
3200,-4.369492E+00
3250,-4.942475E+00
3300,-4.608542E+00
3350,-4.309048E+00
3400,-4.695546E+00
3450,-4.217105E+00
3500,-4.902585E+00
3550,-4.850143E+00
3600,-4.923936E+00
3650,-5.039908E+00
3700,-4.425218E+00
3750,-5.056274E+00
3800,-4.760509E+00
3850,-5.120059E+00
3900,-3.857751E+00
3950,-4.747900E+00
