iter,loss,eval_ber
0,-4.776531E+00,0.180529
200,-5.144514E+00,0.129289
400,1.291916E+00,0.217740
600,-4.520916E+00,0.163273
800,-4.648852E+00,0.148612
1000,-5.075111E+00,0.152844
1200,-4.842645E+00,0.151169
1400,-4.345958E+00,0.149268
1600,-4.125844E+00,0.154799
1800,-4.881719E+00,0.151078
2000,-5.701259E+00,0.144557
2200,-5.193563E+00,0.141148
2400,-4.953279E+00,0.144185
2600,-3.744554E+00,0.132896
2800,-5.362142E+00,0.127799
3000,-5.777272E+00,0.125049
3200,-5.536864E+00,0.120664
3400,-5.235578E+00,0.111391
3600,-4.564766E+00,0.114180
3800,-6.108377E+00,0.104484
4000,-5.252440E+00,0.104711
4200,-5.617525E+00,0.103646
4400,-6.179102E+00,0.101388
4600,-6.081589E+00,0.093036
4800,-5.450606E+00,0.092398
5000,-4.808085E+00,0.091562
5200,-5.292351E+00,0.089211
5400,-6.363001E+00,0.086904
5600,-6.296775E+00,0.079245
5800,-6.524750E+00,0.079659
6000,-6.147825E+00,0.080940
6200,-6.573396E+00,0.076964
6400,-6.189677E+00,0.073919
6600,-6.270629E+00,0.069958
6800,-6.651843E+00,0.070633
7000,-6.605608E+00,0.065159
7200,-6.031404E+00,0.066034
7400,-6.526515E+00,0.062417
7600,-6.691899E+00,0.064846
7800,-6.551033E+00,0.058305
8000,-6.251982E+00,0.062568
8200,-6.797691E+00,0.058914
8400,-6.149488E+00,0.052599
8600,-6.886288E+00,0.050904
8800,-6.510283E+00,0.053255
9000,-5.640221E+00,0.085130
9200,-6.361996E+00,0.062180
9400,-6.893046E+00,0.052708
9600,-7.078994E+00,0.049557
9800,-7.133670E+00,0.044831
10000,-6.705164E+00,0.047893
10200,-7.214355E+00,0.038784
10400,-7.108164E+00,0.047120
10600,-7.101823E+00,0.041273
10800,-6.922304E+00,0.043466
11000,-6.258664E+00,0.038167
11200,-7.279548E+00,0.039174
11400,-6.407410E+00,0.035547
11600,-7.201828E+00,0.036253
11800,-6.937871E+00,0.037503
12000,-7.090276E+00,0.034589
12200,-5.570997E+00,0.034375
12400,-6.983395E+00,0.033245
12600,-5.729028E+00,0.031224
12800,-7.424803E+00,0.031951
13000,-7.544097E+00,0.031453
13200,-7.527090E+00,0.034396
13400,-7.341249E+00,0.030763
13600,-6.849486E+00,0.026380
13800,-7.421595E+00,0.028083
14000,-7.007601E+00,0.031320
14200,-6.334956E+00,0.026247
14400,-7.059758E+00,0.027370
14600,-6.650953E+00,0.041258
14800,-7.004226E+00,0.027570
15000,-7.590263E+00,0.024474
15200,-7.623637E+00,0.026367
15400,-7.371269E+00,0.024943
15600,-7.704248E+00,0.023815
15800,-7.617713E+00,0.030745
16000,-6.994737E+00,0.021417
16200,-6.848565E+00,0.023526
16400,-7.560990E+00,0.024125
16600,-7.553832E+00,0.021578
16800,-6.688651E+00,0.024951
17000,-7.176782E+00,0.023094
17200,-6.433262E+00,0.022206
17400,-7.817885E+00,0.022604
17600,-7.166908E+00,0.022594
17800,-7.712123E+00,0.024320
18000,-7.599149E+00,0.020745
18200,-7.658808E+00,0.022065
18400,-7.517450E+00,0.021930
18600,-7.633526E+00,0.017638
18800,-7.122185E+00,0.019482
19000,-7.769583E+00,0.018786
19200,-7.671800E+00,0.018531
19400,-7.961638E+00,0.019016
19600,-7.598579E+00,0.019008
19800,-7.725041E+00,0.018833
